Activity,LK,CK,PK,SK,TK
Five,0.549450549,49.45054945,12.08791209,16.75824176,21.15384615
Two,0.507614213,40.86294416,9.137055838,34.01015228,15.4822335
Eleven,4.451038576,50.44510386,2.37388724,32.93768546,9.792284866
